24015KAKO AKO20190701000010907/01/19 00:00:31  5-MIN KAKO 010700Z AUTO 13006KT 10SM CLR 18/16 A3014 4520 90 5900 120/06 RMK AO2 T01780161
24015KAKO AKO20190701000510907/01/19 00:05:31  5-MIN KAKO 010705Z AUTO 13007KT 10SM CLR 18/16 A3013 4520 90 5900 120/07 RMK AO2 T01780161
24015KAKO AKO20190701001010907/01/19 00:10:31  5-MIN KAKO 010710Z AUTO 12007KT 10SM CLR 18/16 A3013 4530 90 5900 110/07 RMK AO2 T01780161
24015KAKO AKO20190701001510907/01/19 00:15:31  5-MIN KAKO 010715Z AUTO 13009KT 10SM CLR 18/16 A3013 4530 87 5900 120/09 RMK AO2 T01780156
24015KAKO AKO20190701002010907/01/19 00:20:31  5-MIN KAKO 010720Z AUTO 12008KT 10SM CLR 18/16 A3012 4530 87 5900 110/08 RMK AO2 T01780156
24015KAKO AKO20190701002510907/01/19 00:25:31  5-MIN KAKO 010725Z AUTO 12008KT 10SM CLR 18/16 A3012 4540 87 5900 110/08 RMK AO2 T01780156
24015KAKO AKO20190701003010907/01/19 00:30:31  5-MIN KAKO 010730Z AUTO 13007KT 10SM CLR 18/16 A3012 4540 87 5900 120/07 RMK AO2 T01780156
24015KAKO AKO20190701003510907/01/19 00:35:31  5-MIN KAKO 010735Z AUTO 14008KT 10SM CLR 18/16 A3012 4530 87 5900 130/08 RMK AO2 T01780156
24015KAKO AKO20190701004010907/01/19 00:40:31  5-MIN KAKO 010740Z AUTO 13007KT 10SM CLR 18/15 A3012 4530 83 5900 120/07 RMK AO2 T01780150
24015KAKO AKO20190701004510907/01/19 00:45:31  5-MIN KAKO 010745Z AUTO 15008KT 10SM CLR 18/15 A3012 4530 83 5900 140/08 RMK AO2 T01780150
24015KAKO AKO20190701005011607/01/19 00:50:31  5-MIN KAKO 010750Z AUTO 14008KT 10SM CLR 18/15 A3012 4530 81 6000 130/08 RMK AO2 SLP132 T01830150
